Full Name,Born,Bats,Bowls,Code
Gary Craig Wilson,1986-05-02,Right Handed,,3473
Kevin Joseph O'Brien,1984-04-03,Right Handed,Right Arm Medium Fast,3391
Alex R Cusack,1980-10-29,Right Handed,Right Arm Medium Fast,3475
John F Mooney,1982-10-02,Left Handed,Right Arm Medium,3389
David Trent Johnston,1974-04-29,Right Handed,Right Arm Fast Medium,3385
Timothy James Murtagh,1981-02-08,Left Handed,Right Arm Fast Medium,3958
George Henry Dockrell,1992-07-22,Right Handed,Left Arm Orthodox,3752
Yamin Ahmadzai,1992-07-25,Right Handed,Right Arm Medium Fast,4507
Sean P Terry,1991-01-08,Right Handed,Right Arm Off Break,4569
Stuart W Poynter,1990-10-18,Right Handed,,4326
Andrew Robert McBrine,1993-04-30,Left Handed,Right Arm Off Break,4294
Barry J McCarthy,1992-09-13,Right Handed,Right Arm Medium,4563
Peter K D Chase,1993-09-10,Right Handed,Right Arm Medium Fast,4375
Shafiqullah,1989-07-08,Right Handed,,3730
Andrew Balbirnie,1990-12-28,Right Handed,Right Arm Off Break,3809
Simi Singh,1987-04-02,Right Handed,Right Arm Off Break,4687
William Boyd Rankin,1984-05-07,Right Handed,Right Arm Medium Fast,3459
James Alexander McCollum,1995-01-08,Right Handed,Right Arm Medium,4926
Mark Richard Adair,1996-03-27,Right Handed,Right Arm Fast,5089
James D Hall,1988-10-19,Right Handed,Right Arm Off Break,3802
Andrew D Poynter,1987-04-25,Right Handed,Right Arm Off Break,3585
Andrew R White,1980-03-07,Right Handed,Right Arm Off Break,3392
Nigel G Jones,1982-04-22,Right Handed,Right Arm Medium,3803
Rory D McCann,1985-11-01,Right Handed,,3804
Usman Ghani,1996-11-20,Right Handed,,4300
Afsar Zazai,1993-10-08,Right Handed,,4245
Nasir Jamal Ahmadzai,1993-12-21,Right Handed,Right Arm Leg Break,4315
Stuart Robert Thompson,1991-08-15,Left Handed,Right Arm Medium Fast,4237
Jacob Mulder,1995-11-08,Right Handed,Right Arm Leg Break,4585
Ikram Ali Khil,2000-09-29,Left Handed,,4928
Zahir Khan Pakteen,1998-12-20,Left Handed,Left Arm Wrist Spin (Chinaman),4782
Seren Waters,1990-11-04,Right Handed,Right Arm Leg Break,3621
David O Obuya,1979-08-14,Right Handed,,2978
Collins O Obuya,1981-07-27,Right Handed,Right Arm Leg Break,2979
Stephen O Tikolo,1971-06-25,Right Handed,Right Arm Medium,2914
Rakeep R Patel,1987-12-07,Right Handed,Right Arm Leg Break,3612
Maurice A Ouma,1979-08-11,Right Handed,Right Arm Off Break,3222
James K Kamande,1978-12-12,Right Handed,Right Arm Fast Medium,2740
Thomas M Odoyo,1978-12-05,Right Handed,Right Arm Medium Fast,2806
Nehemiah N Odhiambo,1983-07-08,Right Handed,Right Arm Medium Fast,3346
Elijah Otieno,1988-03-01,Right Handed,Right Arm Medium Fast,3510
James O Ngoche,1988-01-29,Right Handed,Right Arm Off Break,3805
Tanmay Mishra,1986-12-22,Right Handed,,3345
Noor-ul-Haq,1992-02-04,Right Handed,Right Arm Off Break,3819
Abdullah Mazari,1987-07-03,Left Handed,Left Arm Orthodox,3827
Izatullah Dawlatzai,1991-10-05,Right Handed,Right Arm Fast Medium,3828
