Full Name,Born,Bats,Bowls,Code
John K Lever,1949-02-24,Right Handed,Left Arm Fast Medium,1004
Phillippe H Edmonds,1951-08-03,Right Handed,Left Arm Orthodox,494
Julien M Wiener,1955-01-05,Right Handed,Right Arm Off Break,1904
Bruce M Laird,1950-11-21,Right Handed,,968
Raymond J Bright,1954-07-13,Right Handed,Left Arm Orthodox,235
Dennis K Lillee,1949-07-18,Right Handed,Right Arm Fast,1013
Peter Willey,1949-06-12,Right Handed,Right Arm Off Break/Right Arm Medium,1912
Graham R Dilley,1959-05-18,Left Handed,Right Arm Fast,450
Derek Leslie Underwood,1945-08-06,Right Handed,Left Arm Orthodox,1798
Leonard S Pascoe,1950-02-13,Right Handed,Right Arm Fast,1338
Richard B McCosker,1946-11-12,Right Handed,,1124
John Dyson,1954-11-06,Right Handed,,489
Kepler Christoffel Wessels,1957-09-14,Left Handed,Right Arm Medium,1885
David W Hookes,1955-03-05,Left Handed,Left Arm Wrist Spin (Chinaman),790
Geoffrey Francis Lawson,1957-07-12,Right Handed,Right Arm Fast Medium,992
Carl Grau Rackemann,1960-03-06,Right Handed,Right Arm Fast Medium,1413
Geoffrey Cook,1951-09-10,Right Handed,Left Arm Orthodox,357
Ian J Gould,1957-08-19,Left Handed,,2700
Allan J Lamb,1954-06-20,Right Handed,Right Arm Medium,971
Trevor E Jesty,1948-02-06,Right Handed,Right Arm Medium,2738
Geoffrey Miller,1952-08-09,Right Handed,Right Arm Off Break,1177
Victor J Marks,1955-06-25,Right Handed,Right Arm Off Break,1085
Norman G Cowans,1961-04-17,Right Handed,Right Arm Fast,373
Christopher James Tavare,1954-10-27,Right Handed,,1720
Derek Raymond Pringle,1958-09-18,Right Handed,Right Arm Medium Fast,1400
Edward E Hemmings,1949-02-20,Right Handed,Right Arm Off Break,749
Robin D Jackman,1945-08-13,Right Handed,Right Arm Fast Medium,850
Graeme Fowler,1957-04-20,Left Handed,,559
Paul R Downton,1957-04-04,Right Handed,,468
Michael William Gatting,1957-06-06,Right Handed,Right Arm Medium,593
Christopher S Cowdrey,1957-10-20,Right Handed,Right Arm Medium,374
Richard M Ellison,1959-09-21,Left Handed,Right Arm Fast Medium,508
Jonathan P Agnew,1960-04-04,Right Handed,Right Arm Fast,12
Brian C Broad,1957-09-29,Left Handed,Right Arm Medium,237
Charles W J Athey,1957-09-27,Right Handed,Right Arm Medium,102
Clifton James Richards,1958-10-08,Right Handed,,1469
Phillip A J De Freitas,1966-02-18,Right Handed,Right Arm Fast Medium,425
John E Emburey,1952-08-20,Right Handed,Right Arm Off Break,509
Gladstone C Small,1961-10-18,Right Handed,Right Arm Fast Medium,1619
Geoffrey Robert Marsh,1958-12-31,Right Handed,,1088
Dirk M Wellham,1959-03-13,Right Handed,,1883
Dean M Jones,1961-03-24,Right Handed,Right Arm Off Break,888
Stephen Rodger Waugh,1965-02-06,Right Handed,Right Arm Medium,1873
Simon P O'Donnell,1963-01-26,Right Handed,Right Arm Medium,1288
Gregory Richard John Matthews,1959-12-15,Left Handed,Right Arm Off Break,1109
Kenneth H MacLeay,1959-02-04,Right Handed,Right Arm Medium,2757
Timothy J Zoehrer,1961-09-25,Right Handed,Right Arm Leg Break,1964
Peter L Taylor,1956-08-22,Left Handed,Right Arm Off Break,1733
Bruce A Reid,1963-03-14,Left Handed,Left Arm Fast Medium,1457
Simon P Davis,1959-08-11,Right Handed,Right Arm Fast Medium,418
Gregory Michael Ritchie,1960-01-23,Right Handed,,1484
Neil A Foster,1962-06-05,Right Handed,Right Arm Fast Medium,556
Bruce N French,1959-08-13,Right Handed,,574
David C Boon,1960-12-29,Right Handed,Right Arm Off Break,205
Michael R J Veletta,1963-10-30,Right Handed,,1812
Anthony I C Dodemaide,1963-05-10,Right Handed,Right Arm Medium Fast,454
Gregory C Dyer,1959-03-16,Right Handed,,487
Michael R Whitney,1959-02-24,Right Handed,Left Arm Fast Medium,1899
John E Morris,1964-01-04,Right Handed,Right Arm Medium,1216
Wayne Larkins,1953-11-22,Right Handed,Right Arm Medium,980
Robin A Smith,1963-09-13,Right Handed,,1641
Alec J Stewart,1963-08-04,Right Handed,,1680
Clairmonte C Lewis,1968-02-14,Right Handed,Right Arm Fast Medium,1009
Robert Charles Russell,1963-08-15,Left Handed,,1517
Martin P Bicknell,1969-01-14,Right Handed,Right Arm Fast Medium,177
Angus R C Fraser,1965-08-08,Right Handed,Right Arm Fast Medium,567
Philip Clive Roderick Tufnell,1966-04-29,Right Handed,Left Arm Orthodox,1781
Mark Edward Waugh,1965-02-06,Right Handed,Right Arm Off Break,1872
Ian A Healy,1964-04-30,Right Handed,,740
Terence Michael Alderman,1956-12-06,Right Handed,Right Arm Fast Medium,32
Thomas Masson Moody,1965-02-10,Right Handed,Right Arm Medium,1206
Mark A Taylor,1964-10-27,Left Handed,,1732
Craig J McDermott,1965-04-14,Right Handed,Right Arm Fast Medium,1125
Michael J Slater,1970-02-21,Right Handed,,1615
Stuart G Law,1968-10-18,Right Handed,Right Arm Medium,2040
Shane K Warne,1969-09-13,Right Handed,Right Arm Leg Break,1856
Timothy Brian Alexander May,1962-01-26,Right Handed,Right Arm Off Break,1113
Michael A Atherton,1968-05-23,Right Handed,Right Arm Leg Break,101
Graeme A Hick,1966-05-23,Right Handed,Right Arm Off Break,758
Graham P Thorpe,1969-01-08,Left Handed,Right Arm Medium,1750
Neil H Fairbrother,1963-09-09,Left Handed,Left Arm Medium,520
John P Crawley,1971-09-21,Right Handed,Right Arm Medium,1996
Steven John Rhodes,1964-06-17,Right Handed,,1989
Darren Gough,1970-09-18,Right Handed,Right Arm Fast,1995
Shaun D Udal,1969-03-18,Right Handed,Right Arm Off Break,2918
Nicholas V Knight,1969-11-28,Left Handed,,2027
Vincent J Wells,1965-06-08,Right Handed,Right Arm Medium,2936
Adam J Hollioake,1971-05-09,Right Handed,Right Arm Medium Fast,2105
Mark W Alleyne,1968-05-23,Right Handed,Right Arm Medium,2609
Mark A Ealham,1969-08-27,Right Handed,Right Arm Medium Fast,2061
Robert D B Croft,1970-05-25,Right Handed,Right Arm Off Break,2064
Alan D Mullally,1969-12-07,Right Handed,Left Arm Fast Medium,2056
Nasser Hussain,1968-03-28,Right Handed,Right Arm Leg Break,823
Dean W Headley,1970-01-27,Right Handed,Right Arm Fast Medium,2101
Ashley F Giles,1973-03-19,Right Handed,Left Arm Orthodox,2146
Gregory Scott Blewett,1971-10-29,Right Handed,Right Arm Medium,2013
Darren S Lehmann,1970-05-02,Left Handed,Left Arm Orthodox,2139
Shane Lee,1973-08-08,Right Handed,Right Arm Medium,2750
Brendon P Julian,1970-10-08,Right Handed,Left Arm Fast Medium,897
Adam C Dale,1968-12-30,Left Handed,Right Arm Medium,2140
Marcus E Trescothick,1975-12-25,Left Handed,Right Arm Medium,2228
Ronald C Irani,1971-10-26,Right Handed,Right Arm Medium Fast,2057
Ian D Blackwell,1978-10-06,Left Handed,Left Arm Orthodox,3045
Owais A Shah,1978-10-22,Right Handed,Right Arm Off Break,2974
Craig White,1969-12-16,Right Handed,Right Arm Fast Medium,1990
Gareth J Batty,1977-10-13,Right Handed,Right Arm Off Break,3064
Andrew R Caddick,1968-11-21,Right Handed,Right Arm Fast Medium,278
Robert J Kirtley,1975-10-11,Right Handed,Right Arm Fast Medium,2987
James P Maher,1974-02-27,Left Handed,Right Arm Medium,2760
Michael P Vaughan,1974-10-29,Right Handed,Right Arm Off Break,2200
Paul D Collingwood,1976-05-26,Right Handed,Right Arm Medium,2973
James M Anderson,1982-07-30,Left Handed,Right Arm Fast Medium,3065
Matthew J Hoggard,1976-12-31,Right Handed,Right Arm Fast Medium,2224
Andrew J Strauss,1977-02-03,Left Handed,Left Arm Medium,3148
Ian R Bell,1982-11-04,Right Handed,Right Arm Medium,3207
Kevin P Pietersen,1980-06-27,Right Handed,Right Arm Off Break,3238
Andrew Flintoff,1977-06-12,Right Handed,Right Arm Fast,2148
Paul A Nixon,1970-10-21,Left Handed,,3454
James W M Dalrymple,1981-01-21,Right Handed,Right Arm Off Break,3395
Johnathan Lewis,1975-08-26,Right Handed,Right Arm Medium,3281
Mudhsuden S Panesar,1982-04-25,Left Handed,Left Arm Orthodox,3350
Malachy B Loye,1972-09-27,Right Handed,Right Arm Off Break,3456
Christopher T Tremlett,1981-02-09,Right Handed,Right Arm Medium Fast,3282
Liam Edward Plunkett,1985-06-04,Right Handed,Right Arm Fast Medium,3331
Ravinda S Bopara,1985-04-05,Right Handed,Right Arm Medium,3460
Sajid I Mahmood,1981-12-21,Right Handed,Right Arm Medium Fast,3179
Bradley J Hodge,1974-12-29,Right Handed,Right Arm Off Break,3330
Steven M Davies,1986-06-17,Left Handed,,3677
Ian J L Trott,1981-04-22,Right Handed,Right Arm Medium,3693
Michael H Yardy,1980-11-27,Left Handed,Left Arm Orthodox,3435
Timothy T Bresnan,1985-02-28,Right Handed,Right Arm Medium Fast,3396
Graeme P Swann,1979-03-24,Right Handed,Right Arm Off Break,2906
Ajmal Shahzad,1985-07-27,Right Handed,Right Arm Medium Fast,3765
Nathan M Hauritz,1981-10-18,Right Handed,Right Arm Off Break,3016
Douglas E Bollinger,1981-07-24,Left Handed,Left Arm Fast Medium,3631
Shaun W Tait,1983-02-22,Right Handed,Right Arm Fast,3319
Matthew J Prior,1982-02-26,Right Handed,,3239
Luke J Wright,1985-07-03,Right Handed,Right Arm Medium,3499
Steven Thomas Finn,1989-04-04,Right Handed,Right Arm Fast Medium,3775
Adam C Voges,1979-04-10,Right Handed,Left Arm Orthodox,3463
Jason J Krejza,1983-01-14,Right Handed,Right Arm Off Break,3625
Alastair N Cook,1984-12-25,Left Handed,Right Arm Medium,3349
Gary S Ballance,1989-11-22,Left Handed,,4234
Christopher J Jordan,1988-04-10,Right Handed,Right Arm Fast Medium,4238
Stuart C J  Broad,1986-06-24,Left Handed,Right Arm Medium Fast,3434
James Cullum Tredwell,1982-02-27,Left Handed,Right Arm Off Break,3772
Clinton J McKay,1983-02-22,Right Handed,Right Arm Fast Medium,3735
James W A Taylor,1990-06-01,Right Handed,Right Arm Leg Break,3884
Travis M Head,1993-12-29,Left Handed,Right Arm Off Break,4386
Andrew James Tye,1986-12-12,Right Handed,Right Arm Medium Fast,4383
Jhye Avon Richardson,1996-09-20,Left Handed,Right Arm Fast,4650
Jason Jonathan Roy,1990-07-21,Right Handed,,4325
Alexander D Hales,1989-03-01,Right Handed,Right Arm Medium,3887
Thomas Kevin Curran,1995-12-03,Right Handed,Right Arm Fast Medium,4693
David J Willey,1990-03-28,Left Handed,Left Arm Fast Medium,4420
Jacob T Ball,1991-03-14,Right Handed,Right Arm Fast Medium,4568
Keith R Stackpole,1940-10-07,Right Handed,Right Arm Leg Break,1669
Graeme D Watson,1945-08-03,Right Handed,Right Arm Medium Fast,1867
Andrew P Sheahan,1946-09-30,Right Handed,,1572
Ashley A Mallett,1945-07-13,Right Handed,Right Arm Off Break,1072
Robert A L Massie,1947-04-14,Left Handed,Right Arm Medium Fast,1103
Dennis Leslie Amiss,1943-07-04,Right Handed,Left Arm Medium,68
D Brian Close,1931-02-24,Left Handed,Right Arm Off Break/Right Arm Medium,337
Anthony W Greig,1946-06-10,Right Handed,Right Arm Medium Fast,656
Robert A Woolmer,1948-05-14,Right Handed,Right Arm Medium Fast,1938
Geoffrey G Arnold,1944-03-09,Right Handed,Right Arm Medium Fast,92
Jeffrey R Hammond,1950-04-19,Right Handed,Right Arm Fast Medium,695
Barry Wood,1942-12-26,Right Handed,Right Arm Medium,1927
Frank C Hayes,1946-06-12,Right Handed,,732
Michael H Denness,1940-01-12,Right Handed,Right Arm Off Break,439
Ian C Davis,1953-06-25,Right Handed,,417
Craig S Serjeant,1951-01-11,Right Handed,,1555
Kerry J O'Keeffe,1949-11-25,Right Handed,Right Arm Leg Break,1289
Michael F Malone,1950-09-10,Right Handed,Right Arm Medium Fast,1073
Graham D Barlow,1950-03-26,Left Handed,Right Arm Medium,137
Warrick M Darling,1957-01-05,Right Handed,,412
Garry J Cosier,1953-04-25,Right Handed,Right Arm Medium,367
Kevin J Wright,1953-12-27,Right Handed,,1945
Alan R Butcher,1954-07-01,Left Handed,Left Arm Medium,265
Roland O Butcher,1953-10-14,Right Handed,,267
Trevor M Chappell,1952-10-21,Right Handed,Right Arm Medium,313
Martin F Kent,1953-11-23,Right Handed,,921
Paul J W Allott,1956-09-14,Right Handed,Right Arm Fast Medium,58
Robert T Robinson,1958-11-21,Right Handed,Right Arm Medium,1498
Wayne B Phillips,1958-01-03,Left Handed,,1366
Mervyn Gregory Hughes,1961-11-23,Right Handed,Right Arm Fast,811
Paul R Reiffel,1966-04-19,Right Handed,Right Arm Fast Medium,1461
Dominic G Cork,1971-07-08,Right Handed,Right Arm Fast Medium,2024
Paul W Jarvis,1965-06-29,Right Handed,Right Arm Fast Medium,867
Matthew T G Elliott,1971-09-28,Left Handed,Left Arm Orthodox,2075
Justin L Langer,1970-11-21,Left Handed,Right Arm Medium,975
Alistair D Brown,1970-11-02,Right Handed,Right Arm Off Break,2642
Ben C Hollioake,1977-11-11,Right Handed,Right Arm Medium Fast,2106
Geraint O Jones,1976-07-14,Right Handed,,3165
Stephen J Harmison,1978-10-23,Right Handed,Right Arm Fast,3037
Simon P Jones,1978-12-25,Left Handed,Right Arm Fast Medium,3028
Vikram S Solanki,1976-01-04,Right Handed,Right Arm Off Break,2891
Ryan J Sidebottom,1978-01-15,Left Handed,Left Arm Fast Medium,2971
Joseph L Denly,1986-03-16,Right Handed,Right Arm Leg Break,3724
Adrian D Mascarenhas,1977-10-30,Right Handed,Right Arm Fast Medium,3478
Peter M Siddle,1984-11-25,Right Handed,Right Arm Fast Medium,3618
Benjamin William Hilfenhaus,1983-03-15,Right Handed,Right Arm Fast Medium,3455
Ryan James Harris,1979-11-10,Right Handed,Right Arm Fast Medium,3638
Craig Kieswetter,1987-11-28,Right Handed,,3768
Peter J Forrest,1985-11-15,Right Handed,Right Arm Medium,3938
Fawad Ahmed,1982-05-02,Right Handed,Right Arm Leg Break,4233
Phillip Joel Hughes,1988-11-30,Left Handed,,3647
Joseph A Burns,1989-06-09,Right Handed,Right Arm Medium,4369
Reece J W Topley,1994-02-21,Right Handed,Left Arm Medium Fast,4479
Ashton C Agar,1993-10-14,Left Handed,Left Arm Orthodox,4224
Michael Gertges Neser,1990-03-29,Right Handed,Right Arm Medium,4201
Kane W Richardson,1991-12-02,Right Handed,Right Arm Fast Medium,3996
Billy Stanlake,1994-04-11,Left Handed,Right Arm Fast,4626
Samuel William Billings,1991-06-15,Right Handed,,4428
Nathan Michael Lyon,1987-11-20,Right Handed,Right Arm Off Break,3885
D'Arcy John Matthew Short,1990-09-08,Left Handed,Left Arm Orthodox,4729
Jason Paul Behrendorff,1990-04-20,Right Handed,Left Arm Fast Medium,4705
Peter Stephen Patrick Handscomb,1991-04-26,Right Handed,,4558
Marnus Labuschagne,1994-06-22,Right Handed,Right Arm Leg Break,4816
Samuel Matthew Curran,1998-03-06,Left Handed,Left Arm Medium Fast,4787
Martyn D Moxon,1960-04-05,Right Handed,Right Arm Medium,1228
Colin M Wells,1960-03-03,Right Handed,Right Arm Medium,2935
Norman Gifford,1940-03-30,Left Handed,Left Arm Orthodox,609
Robert J Bailey,1963-10-28,Right Handed,Right Arm Off Break,116
David J Capel,1963-06-02,Right Handed,Right Arm Medium Fast,292
Christopher Mark Wells Read,1978-10-08,Right Handed,,2182
Graham Onions,1982-09-09,Right Handed,Right Arm Medium Fast,3676
Sunil M Gavaskar,1949-10-07,Right Handed,,595
Dillip B Vengsarkar,1956-06-04,Right Handed,Right Arm Medium,1813
Tirumalai E Srinivasan,1950-10-26,Right Handed,Right Arm Leg Break,1666
Gundappa R Viswanath,1949-12-02,Right Handed,Right Arm Leg Break,1822
Kirtivardhan Azad,1959-02-01,Right Handed,Right Arm Off Break,108
Sandeep M Patil,1956-08-18,Right Handed,Right Arm Medium,1349
Kapil Dev,1959-06-01,Right Handed,Right Arm Fast Medium,443
Syed M H Kirmani,1949-12-29,Right Handed,,944
Roger M H Binny,1955-07-19,Right Handed,Right Arm Medium Fast,181
Karsan D Ghavri,1951-02-28,Left Handed,Left Arm Fast Medium,601
Dilip R Doshi,1947-12-22,Left Handed,Left Arm Orthodox,462
Yashpal Sharma,1954-11-08,Right Handed,Right Arm Medium,1565
Chetandra P S Chauhan,1947-07-21,Right Handed,Right Arm Off Break,319
Yograj Singh,1958-03-25,Right Handed,Right Arm Fast Medium,1610
Shaun F Graf,1957-05-19,Right Handed,Right Arm Fast Medium,2701
Robert B Kerr,1961-06-16,Right Handed,,925
Rodney J McCurdy,1959-12-30,Right Handed,Right Arm Fast Medium,2772
Krishnamachari Srikkanth,1959-12-21,Right Handed,,1664
Mohinder Amarnath,1950-09-24,Right Handed,Right Arm Medium,63
Mohammad Azharuddin,1963-08-02,Right Handed,Right Arm Medium,109
Ravishankar J Shastri,1962-05-27,Right Handed,Left Arm Orthodox,1570
Chetan Sharma,1966-03-01,Right Handed,Right Arm Fast Medium,1561
Nandlal S Yadav,1957-01-26,Right Handed,Right Arm Off Break,1949
David R Gilbert,1960-12-29,Right Handed,Right Arm Fast Medium,610
Kiran S More,1962-04-09,Right Handed,,1209
Sanjay Vijay Manjrekar,1965-12-07,Right Handed,Right Arm Off Break,1074
Sachin R Tendulkar,1973-04-24,Right Handed,Right Arm Medium,1735
Praveen K Amre,1968-08-14,Right Handed,,69
Manoj M Prabhakar,1963-04-15,Right Handed,Right Arm Medium,1392
Subroto T Banerjee,1969-02-13,Right Handed,Right Arm Medium Fast,124
Javagal Srinath,1969-08-31,Right Handed,Right Arm Fast Medium,1665
Sagi Lakshmi Venkatapathy Raju,1969-09-07,Right Handed,Left Arm Orthodox,1422
Navjot S Sidhu,1963-10-20,Right Handed,,1591
Chandrakant S Pandit,1961-09-30,Right Handed,,1319
Damien W Fleming,1970-04-24,Right Handed,Right Arm Fast Medium,2003
Sourav C Ganguly,1972-08-07,Left Handed,Right Arm Medium,2059
Vangipurappu Venkata Sai Laxman,1974-01-11,Right Handed,Right Arm Off Break,2079
Rahul Dravid,1973-11-01,Right Handed,Right Arm Off Break,2060
Devang J Gandhi,1971-06-09,Right Handed,Right Arm Medium,2186
Rabindra Ramanarayan Singh,1963-09-14,Left Handed,Right Arm Medium Fast,2158
Sameer S Dighe,1968-08-10,Right Handed,,2670
Anil  Kumble,1970-10-17,Right Handed,Right Arm Leg Break,962
Nikhil Chopra,1973-12-26,Right Handed,Right Arm Off Break,2212
Bapu Krishnarao Venkatesh Prasad,1969-05-08,Right Handed,Right Arm Medium Fast,2055
Stuart C G MacGill,1971-02-25,Right Handed,Right Arm Leg Break,2126
Hrishikesh H Kanitkar,1974-11-14,Left Handed,Right Arm Off Break,2204
Sunil B Joshi,1969-06-06,Left Handed,Left Arm Orthodox,2053
Ajit B Agarkar,1977-04-12,Right Handed,Right Arm Fast Medium,2159
Yuvraj Singh,1981-12-12,Left Handed,Left Arm Medium,2949
Rohan S Gavaskar,1976-02-20,Left Handed,Left Arm Orthodox,3159
Hemang K Badani,1976-11-14,Left Handed,Left Arm Orthodox,2625
Irfan K Pathan,1984-10-27,Left Handed,Left Arm Medium Fast,3156
Lakshmipathy Balaji,1981-09-27,Right Handed,Right Arm Medium Fast,3057
Ashish Nehra,1979-04-29,Right Handed,Left Arm Fast Medium,2168
Virender Sehwag,1978-10-20,Right Handed,Right Arm Off Break,2878
Murali Kartik,1976-11-09,Left Handed,Left Arm Orthodox,2209
Robin V Uthappa,1985-11-11,Right Handed,Right Arm Medium,3355
Gautam Gambhir,1981-10-14,Left Handed,Right Arm Leg Break,3107
Harbhajan Singh,1980-03-07,Right Handed,Right Arm Off Break,2138
Praveenkumar Sakat Singh,1986-02-10,Right Handed,Right Arm Medium,3514
Piyush Pramod Chawla,1988-12-24,Left Handed,Right Arm Leg Break,3351
Shanthakumaran Sreesanth,1983-06-02,Right Handed,Right Arm Medium,3327
Daniel T Christian,1983-04-05,Right Handed,Right Arm Fast Medium,3766
Shikhar Dhawan,1985-05-12,Left Handed,,3832
Ajinkya M Rahane,1988-06-06,Right Handed,Right Arm Medium,3889
Suresh Kumar Raina,1986-11-27,Left Handed,Right Arm Off Break,3287
Axar Rajeshbhai Patel,1994-01-20,Left Handed,Left Arm Orthodox,4310
Ravichandran Ashwin,1986-09-17,Right Handed,Right Arm Off Break,3788
Bhuvneshwar Kumar,1990-05-02,Right Handed,Right Arm Medium,3991
Umeshkumar Tilak Yadav,1987-10-25,Right Handed,Right Arm Fast,3786
Ravindrasinh Anirudhsinh Jadeja,1988-06-12,Left Handed,Left Arm Orthodox,3644
Manish Krishnanand Pandey,1989-10-09,Right Handed,Right Arm Off Break,4083
Barinder B Sran,1992-10-12,Left Handed,Left Arm Medium,4512
Ishant Sharma,1988-02-09,Right Handed,Right Arm Fast Medium,3470
Gurkeerat Rupinder Singh,1990-06-29,Right Handed,Right Arm Off Break,4212
Rishi Dhawan,1990-02-19,Right Handed,Right Arm Medium Fast,4064
Scott M Boland,1989-11-04,Right Handed,Right Arm Fast Medium,4511
Thomas G Hogan,1956-09-23,Right Handed,Left Arm Orthodox,777
John N Maguire,1956-09-15,Right Handed,Right Arm Fast Medium,1056
Sharma Madan Lal,1951-03-20,Right Handed,Right Arm Fast Medium,1051
Ashok K Patel,1957-06-03,Right Handed,Right Arm Off Break,2817
Ghulam A Parkar,1955-10-24,Right Handed,,1322
Surinder C Khanna,1956-03-06,Right Handed,,2745
Balwinder S Sandhu,1956-03-08,Right Handed,Right Arm Medium Fast,1530
Raman Lamba,1960-02-01,Right Handed,Right Arm Medium,972
Maninder Singh,1965-06-13,Right Handed,Left Arm Orthodox,1608
Gopal Sharma,1960-03-08,Right Handed,Right Arm Off Break,1562
Rajinder S Ghai,1960-12-06,Right Handed,Right Arm Medium Fast,2694
Rudra Pratap Singh,1965-06-01,Right Handed,Right Arm Fast Medium,2884
Ajaysinhji Jadeja,1971-01-02,Right Handed,Right Arm Medium,854
Nayan R Mongia,1969-12-19,Right Handed,,1978
Vinod G Kambli,1972-01-18,Left Handed,Right Arm Off Break,908
Debashish S Mohanty,1976-07-20,Right Handed,Right Arm Medium,2107
Gavin R Robertson,1966-05-28,Right Handed,Right Arm Off Break,2132
Rahul L Sanghvi,1974-03-09,,,2259
Vijay Dahiya,1973-10-05,Right Handed,,2247
Zaheer Khan,1978-07-10,Right Handed,Left Arm Fast Medium,2245
Dinesh Mongia,1977-04-17,Left Handed,Left Arm Orthodox,2959
Mohammad Kaif,1980-01-12,Right Handed,Right Arm Leg Break,2213
Pathiv A Patel,1985-09-03,Left Handed,,3035
Munaf M Patel,1983-12-07,Right Handed,Right Arm Medium Fast,3352
Rudra Pratap Singh,1985-06-12,Right Handed,Left Arm Medium Fast,3332
Moises C Henriques,1987-01-02,Right Handed,Right Arm Fast Medium,3680
Graham A Manou,1979-04-23,Right Handed,,3719
Ranganath Vinay Kumar,1984-12-02,Right Handed,Right Arm Medium,3782
Ashton James Turner,1993-01-25,Right Handed,Right Arm Off Break,4648
Ambati T Rayudu,1985-09-23,Right Handed,Right Arm Off Break,4069
Rishabh Rajendra Pant,1997-04-10,Left Handed,,4542
Shreyas S Iyer,1994-06-12,Right Handed,Right Arm Leg Break,4387
Shardul Narendra Thakur,1991-10-16,Right Handed,Right Arm Medium,4393
Navdeep Amarjeet Saini,1992-11-23,Right Handed,Right Arm Fast,4656
Stephen John Rixon,1954-02-25,,,1485
Murray J Bennett,1956-06-10,Right Handed,Left Arm Orthodox,170
Gegory D Campbell,1964-10-03,Right Handed,Right Arm Medium Fast,290
Woorkeri V Raman,1965-05-23,Left Handed,Left Arm Orthodox,1424
Vakkadai Biksheswaran Chandrasekhar,1961-08-21,Right Handed,,2652
Gursharan Singh,1963-08-03,Right Handed,,1606
Ajay K Sharma,1964-03-04,Right Handed,,1560
Atul S Wassan,1968-03-23,Right Handed,Right Arm Fast Medium,1861
Narendra D Hirwani,1968-10-18,Right Handed,Right Arm Leg Break,770
Atul C Bedade,1966-09-24,Left Handed,Right Arm Medium,2630
Rajesh K Chauhan,1966-12-19,Right Handed,Right Arm Off Break,320
Jo Angel,1968-04-22,Left Handed,Right Arm Fast,76
Jeremy P Bray,1973-11-30,Left Handed,,3383
William K McCallan,1975-08-27,Right Handed,Right Arm Off Break,3388
Dave Langford-Smith,1976-07-12,Right Handed,Right Arm Fast Medium,3387
John Anderson,1982-06-10,Right Handed,Right Arm Off Break,4327
Kennedy O Otieno,1972-11-03,Right Handed,,2812
Maurice O Odumbe,1969-06-15,Right Handed,Right Arm Off Break,2808
Brijal J Patel,1977-11-14,Right Handed,Left Arm Orthodox,2980
Anthony O Suji,1976-05-02,Right Handed,Right Arm Medium,2901
Martin A Suji,1971-02-06,Right Handed,Right Arm Medium Fast,2902
Joseph O Angara,1971-08-11,Right Handed,Right Arm Medium Fast,2612
Peter J Ongondo,1977-10-02,Right Handed,Right Arm Fast Medium,2805
Lamech N Onyango,1973-09-22,Right Handed,Right Arm Medium,2809
Ravindu D Shah,1972-08-28,Right Handed,Right Arm Medium Fast,2868
Hitesh S Modi,1971-10-13,Left Handed,Right Arm Off Break,2784
Aasif Y Karim,1963-12-15,Right Handed,Left Arm Orthodox,2741
Bruce A Edgar,1956-11-23,Left Handed,,493
John G Wright,1954-05-07,Left Handed,,1944
Jeremy V Coney,1952-06-21,Right Handed,Right Arm Medium,348
Paul E McEwan,1953-12-19,Right Handed,,1129
Richard John Hadlee,1951-03-07,Left Handed,Right Arm Fast,682
Mark G Burgess,1944-11-17,Right Handed,Right Arm Medium,256
John M Parker,1951-02-21,Right Handed,,1326
Warren K Lees,1952-03-19,Right Handed,,998
Gary B Troup,1952-03-10,Right Handed,Left Arm Fast Medium,1772
Stephen L Boock,1951-09-20,Right Handed,Left Arm Orthodox,204
Ewen J Chatfield,1950-03-07,Right Handed,Right Arm Medium Fast,317
Geoffrey Philip Howarth,1951-03-29,Right Handed,Right Arm Off Break,804
Bernard L Cairns,1949-10-10,Right Handed,Right Arm Fast Medium,279
Ian D S Smith,1957-02-28,Right Handed,,1638
Martin C Snedden,1958-11-23,Left Handed,Right Arm Medium Fast,1647
Brian J McKechnie,1953-06-11,Right Handed,Right Arm Fast Medium,2774
Graeme R Beard,1950-08-19,Right Handed,Right Arm Medium,158
Jeffrey J Crowe,1958-09-14,Right Handed,,393
John F M Morrison,1947-08-27,Right Handed,Left Arm Orthodox,1220
Peter N Webb,1957-07-14,Right Handed,,1876
Glenn M Turner,1947-05-26,Right Handed,,1785
Steven Barry Smith,1961-10-18,Right Handed,,1642
Trevor J Franklin,1962-03-18,Right Handed,Right Arm Medium,566
Martin D Crowe,1962-09-22,Right Handed,Right Arm Medium,394
John F Reid,1956-03-03,Left Handed,,1458
John G Bracewell,1958-04-15,Right Handed,Right Arm Off Break,221
Ervin B McSweeney,1957-08-03,Right Handed,,2776
Stuart R Gillespie,1957-02-03,Right Handed,Right Arm Fast Medium,612
Bruce R Blair,1957-12-27,Left Handed,Right Arm Medium,2636
Andrew H Jones,1959-09-05,Right Handed,Right Arm Off Break,885
Dipak N Patel,1958-10-25,Right Handed,Right Arm Off Break,1344
Tony E Blain,1962-02-17,Right Handed,,190
Vaughan R Brown,1959-03-11,Left Handed,Right Arm Off Break,249
Kenneth Robert Rutherford,1965-10-26,Right Handed,Right Arm Medium,1520
William Watson,1965-08-31,Right Handed,Right Arm Medium Fast,1870
Rodney T Latham,1961-12-06,Right Handed,Right Arm Medium,984
Chris Zinzan Harris,1969-11-20,Left Handed,Right Arm Medium,708
Richard G Petrie,1967-08-23,Right Handed,Right Arm Fast Medium,2826
Christopher Pringle,1968-01-26,Right Handed,Right Arm Fast Medium,1399
